Object Number,Is Highlight,Is Timeline Work,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Constituent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,Tags Wikidata URL
1989.363.16,False,False,True,40196,,Asian Art,1989.0,Fan mounted as an album leaf,宋   佚名   觀瀑圖   團扇|Gentlemen gazing at a waterfall,China,Southern Song dynasty (1127–1279),,,,116043750,Artist|Artist,Formerly Attributed to| ,Li Tang|Unidentified artist,"Chinese, ca. 1070s–ca. 1150s| ", |13th century,Li Tang|Unidentified artist,Chinese| ,1070      |          ,1159      |          ,|,http://vocab.getty.edu/page/ulan/500321561|,https://www.wikidata.org/wiki/Q716331|,13th century,1200,1299,Fan mounted as an album leaf; ink and color on silk,9 7/8 x 10 1/8 in. (25.1 x 25.7 cm),"Bequest of John M. Crawford Jr., 1988",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/40196,https://www.wikidata.org/wiki/Q78862217,,"Metropolitan Museum of Art, New York, NY",Waterfalls|Landscapes,http://vocab.getty.edu/page/aat/300008736|http://vocab.getty.edu/page/aat/300132294,https://www.wikidata.org/wiki/Q34038|https://www.wikidata.org/wiki/Q191163
1989.363.27,False,False,True,40197,,Asian Art,1989.0,Fan mounted as an album leaf,南宋   佚名   江邨圖   團扇|River Hamlet,China,Southern Song dynasty (1127–1279),,,,3750,Artist, ,Unidentified artist, ,"Chinese, 12th–13th century",Unidentified artist, ,          ,          ,,,,12th–13th century,1127,1299,Fan mounted as an album leaf; ink and color on silk,9 1/2 x 10 in. (24.1 x 25.4 cm),"Bequest of John M. Crawford Jr., 1988",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/40197,https://www.wikidata.org/wiki/Q78862096,,"Metropolitan Museum of Art, New York, NY",Rivers|Mountains|Landscapes,http://vocab.getty.edu/page/aat/300008707|http://vocab.getty.edu/page/aat/300008795|http://vocab.getty.edu/page/aat/300132294,https://www.wikidata.org/wiki/Q4022|https://www.wikidata.org/wiki/Q8502|https://www.wikidata.org/wiki/Q191163
1989.363.24,False,False,True,40276,,Asian Art,1989.0,Hanging scroll,南宋  佚名  騎驢圖  軸|Chan master riding a mule,China,Southern Song dynasty (1127–1279),,,,3750,Artist, ,Unidentified artist, ,"Chinese, active mid-13th century",Unidentified artist, ,          ,          ,,,,before 1249,1127,1248,Hanging scroll; ink on paper,"Image: 25 1/4 in. × 13 in. (64.1 × 33 cm)
Overall with mounting: 58 1/4 × 13 1/2 in. (148 × 34.3 cm)
Overall with knobs: 58 1/4 × 15 1/4 in. (148 × 38.7 cm)","Bequest of John M. Crawford Jr., 1988",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/40276,https://www.wikidata.org/wiki/Q78861959,,"Metropolitan Museum of Art, New York, NY",Donkeys|Men,http://vocab.getty.edu/page/aat/300265959|http://vocab.getty.edu/page/aat/300025928,https://www.wikidata.org/wiki/Q3537778|https://www.wikidata.org/wiki/Q8441
1982.2.1,False,False,True,40278,,Asian Art,1982.0,Hanging scroll,南宋  傳直翁   藥山李翱問道圖    軸|Meeting between Yaoshan and Li Ao,China,Song dynasty (960–1279),,,,1165,Artist,Attributed to,Zhiweng,"Chinese, active first half of the 13th century", ,ZHIWENG,Chinese,1200      ,1250      ,,,,before 1256,1200,1255,Horizontal painting mounted as a hanging scroll; ink on paper,"Image: 12 1/2 x 33 1/4 in. (31.8 x 84.5 cm)
Overall with mounting: 49 1/8 x 34 in. (124.8 x 86.4 cm)
Overall with knobs: 49 1/8 x 36 1/4 in. (124.8 x 92.1 cm)","Edward Elliott Family Collection, Purchase, The Dillon Fund Gift, 1982",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/40278,https://www.wikidata.org/wiki/Q78861856,,"Metropolitan Museum of Art, New York, NY",Men,http://vocab.getty.edu/page/aat/300025928,https://www.wikidata.org/wiki/Q8441
1980.275,False,False,True,40282,,Asian Art,1980.0,Hanging scroll,南宋   佚名   阿彌陀佛圖   軸|Buddha Amitabha Descending from his Pure Land,China,Southern Song dynasty (1127–1279),,,,3750,Artist, ,Unidentified artist, ,", active 13th century",Unidentified artist, ,          ,          ,,,,13th century,1200,1279,Hanging scroll; ink and color on silk,"Image: 53 1/2 in. × 23 in. (135.9 × 58.4 cm)
Overall with mounting: 95 3/4 × 31 3/4 in. (243.2 × 80.6 cm)
Overall with knobs: 95 3/4 × 33 1/2 in. (243.2 × 85.1 cm)","Purchase, The Dillon Fund Gift, 1980",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/40282,https://www.wikidata.org/wiki/Q78861748,,"Metropolitan Museum of Art, New York, NY",Buddhism|Buddha,http://vocab.getty.edu/page/aat/300073738|http://vocab.getty.edu/page/aat/300262950,https://www.wikidata.org/wiki/Q748|https://www.wikidata.org/wiki/Q7055
1973.120.4,False,True,True,40284,,Asian Art,1973.0,Handscroll,南宋 趙孟堅 水仙圖 卷|Narcissus,China,Southern Song dynasty (1127–1279),,,,1213,Artist, ,Zhao Mengjian,"Chinese, 1199–before 1267", ,Zhao Mengjian,Chinese,1199      ,1267      ,,,https://www.wikidata.org/wiki/Q2912463,mid-13th century,1234,1266,Handscroll; ink on paper,"Image: 13 1/16 in. × 12 ft. 3 1/4 in. (33.2 × 374 cm)
Overall with mounting: 13 7/16 in. × 32 ft. 7 3/16 in. (34.1 × 993.6 cm)","Ex coll.: C. C. Wang Family, Gift of The Dillon Fund, 1973",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/40284,https://www.wikidata.org/wiki/Q78861639,,"Metropolitan Museum of Art, New York, NY",Narcissus|Plants,http://vocab.getty.edu/page/aat/300311439|http://vocab.getty.edu/page/aat/300132360,https://www.wikidata.org/wiki/Q29465|https://www.wikidata.org/wiki/Q756
1982.459,False,False,True,40287,,Asian Art,1982.0,Handscroll,南宋 	佚名   傳李公麟   豳風七月圖   卷|Odes of the State of Bin,China,Southern Song dynasty (1127–1279),,,,3750,Artist, ,Unidentified artist, , ,Unidentified artist, ,          ,          ,,,,13th century,1200,1279,Handscroll; ink on paper,"Image: 11 1/2 in. × 45 ft. 10 3/4 in. (29.2 × 1398.9 cm)
Overall with mounting: 11 11/16 in. × 53 ft. 4 in. (29.7 × 1625.6 cm)","John M. Crawford Jr. Collection, Gift of The Dillon Fund, 1982",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/40287,https://www.wikidata.org/wiki/Q78861523,,"Metropolitan Museum of Art, New York, NY",Dogs|Farms|Horses|Agriculture|Working|Men,http://vocab.getty.edu/page/aat/300265714|http://vocab.getty.edu/page/aat/300000206|http://vocab.getty.edu/page/aat/300250148|http://vocab.getty.edu/page/aat/300054463|http://vocab.getty.edu/page/aat/300412186|http://vocab.getty.edu/page/aat/300025928,https://www.wikidata.org/wiki/Q144|https://www.wikidata.org/wiki/Q131596|https://www.wikidata.org/wiki/Q726|https://www.wikidata.org/wiki/Q1402889|https://www.wikidata.org/wiki/Q6958747|https://www.wikidata.org/wiki/Q8441
1990.134,False,False,True,40294,,Asian Art,1990.0,Handscroll,南宋/元  顏庚  鍾馗嫁妹圖  卷|The Demon Queller Zhong Kui Giving His Sister Away in Marriage,China,Yuan dynasty (1271–1368),,,,1165,Artist, ,Yan Geng,active late 13th century, ,YAN GENG,Chinese,          ,          ,,,,,1271,1368,Handscroll; ink on silk,Image: 9 5/8 x 99 3/4 in. (24.4 x 253.4 cm),"Purchase, The Dillon Fund Gift and Rogers Fund, 1990",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/40294,https://www.wikidata.org/wiki/Q78861396,,"Metropolitan Museum of Art, New York, NY",Musical Instruments|Women|Buffalos|Donkeys|Demons,http://vocab.getty.edu/page/aat/300041620|http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/aat/300250108|http://vocab.getty.edu/page/aat/300265959|http://vocab.getty.edu/page/aat/300379730,https://www.wikidata.org/wiki/Q34379|https://www.wikidata.org/wiki/Q467|https://www.wikidata.org/wiki/Q82728|https://www.wikidata.org/wiki/Q3537778|https://www.wikidata.org/wiki/Q177413
1989.363.5,False,True,True,40303,,Asian Art,1989.0,Handscroll,南宋/元　佚名　六馬圖　卷|Six Horses,China,,,,,3750,Artist, ,Unidentified artists,"Chinese, 13th century [first half of scroll]; 14th century [second half of scroll]", ,Unidentified artists, ,          ,          ,,,,13th–14th century,1200,1399,Handscroll; ink and color on paper,"Image: 18 3/16 × 66 1/4 in. (46.2 × 168.3 cm)
Overall with mounting: 18 9/16 in. × 21 ft. 2 3/4 in. (47.1 × 647.1 cm)","Bequest of John M. Crawford Jr., 1988",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/40303,https://www.wikidata.org/wiki/Q78861296,,"Metropolitan Museum of Art, New York, NY",Men|Horses,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300250148,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q726
1977.79,False,False,True,40309,,Asian Art,1977.0,Handscroll,元     佚名  倣錢選     梨花圖    卷|Pear Blossoms,China,Yuan dynasty (1271–1368),,,,375021166,Artist|Artist, |After,Unidentified|Qian Xuan," |Chinese, 1239–1301", | ,Unidentified|QIAN XUAN, |Chinese,          |1239      ,          |1301      ,|,|http://vocab.getty.edu/page/ulan/500324493,|https://www.wikidata.org/wiki/Q951585,ca. 1280,1270,1290,Handscroll; ink and color on paper,"Image: 12 5/16 x 37 7/8 in. (31.3 x 96.2 cm)
Overall with mounting: 12 5/8 x 34 ft. 9 1/8 in. (32.1 x 1059.5 cm)","Purchase, The Dillon Fund Gift, 1977",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/40309,https://www.wikidata.org/wiki/Q78861198,,"Metropolitan Museum of Art, New York, NY",Flowers,http://vocab.getty.edu/page/aat/300132399,https://www.wikidata.org/wiki/Q506
13.220.124,False,False,True,40311,,Asian Art,1913.0,Handscroll,元/明 倣錢選 鮮于樞 歸去來辭 卷|Ode on Returning Home,China,,,,,1166,Artist,After,Qian Xuan,"Chinese, 1239–1301", ,QIAN XUAN,Chinese,1239      ,1301      ,,http://vocab.getty.edu/page/ulan/500324493,https://www.wikidata.org/wiki/Q951585,14th–15th century,1300,1499,"Handscroll; ink, color, and gold on paper","Image: 42 x 10 1/4 in. (106.7 x 26 cm)
Overall with mounting: 12 1/4 in. x 13 ft. 6 in. (31.1 x 411.5 cm)","John Stewart Kennedy Fund, 1913",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/40311,https://www.wikidata.org/wiki/Q78861096,,"Metropolitan Museum of Art, New York, NY",Landscapes|Men|Boats,http://vocab.getty.edu/page/aat/300132294|http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300178749,https://www.wikidata.org/wiki/Q191163|https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q35872
25.222.10,False,False,False,40322,,Asian Art,1925.0,Wall painting,,China,Probably modern,,,,,,,,,,,,,,,,,,1912,1924,Fresco,27 1/2 x 22 1/2 in. (69.9 x 57.2 cm),"Fletcher Fund, 1925",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/40322,,,"Metropolitan Museum of Art, New York, NY",,,
25.222.11,False,False,True,40323,,Asian Art,1925.0,Wall painting,,China,Song dynasty (960–1279),,,,,,,,,,,,,,,,,,960,1279,Fresco,H. 26 in. (66 cm); W. 23 1/2 in. (59.7 cm),"Fletcher Fund, 1925",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/40323,https://www.wikidata.org/wiki/Q78860908,,"Metropolitan Museum of Art, New York, NY",Men,http://vocab.getty.edu/page/aat/300025928,https://www.wikidata.org/wiki/Q8441
24.180.5,False,False,False,40324,,Asian Art,1924.0,Wall painting,,China,Ming dynasty (1368–1644),,,,,,,,,,,,,,,,,,1368,1644,Fresco,H. 13 3/4 in. (34.9 cm); W. 11 3/4 in. (29.8 cm),"Fletcher Fund, 1924",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/40324,,,"Metropolitan Museum of Art, New York, NY",,,
25.222.9,False,False,False,40329,,Asian Art,1925.0,Wall painting,,China,Probably modern,,,,,,,,,,,,,,,,,,1925,1925,Fresco; gilt gesso decorations in relief,27 x 17 1/2 in. (68.6 x 44.5 cm),"Fletcher Fund, 1925",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/40329,,,"Metropolitan Museum of Art, New York, NY",,,
52.209.1,False,False,False,40332,,Asian Art,1952.0,Painting,,China,Ming (1368–1644) or Qing dynasty (1644–1911),,,,3750,Artist, ,Unidentified artist, ,"Chinese, 17th century",Unidentified artist, ,          ,          ,,,,17th century,1600,1699,Ink and color on paper,14 3/4 x 13/78 in. (37.5 x 0.4 cm),"Anonymous Gift, 1952",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/40332,,,"Metropolitan Museum of Art, New York, NY",,,
42.25.39,False,False,False,40333,,Asian Art,1942.0,Painting,,China,Sui dynasty (581–618),,,,3750,Artist, ,Unidentified artist, , ,Unidentified artist, ,          ,          ,,,,dated 607,607,607,Ink and color on paper,"Image: 12 1/4 x 12 in. (31.1 x 30.5 cm)
Sheet: 12 3/4 x 12 5/8 in. (32.4 x 32.1 cm)","Gift of Abby Aldrich Rockefeller, 1942",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/40333,,,"Metropolitan Museum of Art, New York, NY",,,
24.14,False,False,False,40334,,Asian Art,1924.0,Album leaf,,China,,,,,3750,Artist, ,Unidentified artist, ,Chinese,Unidentified artist, ,          ,          ,,,,10th century,900,999,Album leaf; ink and color on paper,11 x 7 in. (27.9 x 17.8 cm),"Rogers Fund, 1924",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/40334,,,"Metropolitan Museum of Art, New York, NY",,,
29.76,False,False,True,40345,,Asian Art,1929.0,Wall painting,,China,Song dynasty (960–1279),,,,,,,,,,,,,,,,,,960,1279,Fresco,"23 x 23 3/4 in. (58.4 x 60.3 cm)
","Gift of Otto Burchard, 1929",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/40345,https://www.wikidata.org/wiki/Q78859836,,"Metropolitan Museum of Art, New York, NY",Buddhism|Bodhisattvas,http://vocab.getty.edu/page/aat/300073738|http://vocab.getty.edu/page/aat/300264360,https://www.wikidata.org/wiki/Q748|https://www.wikidata.org/wiki/Q178149
47.18.10,False,True,True,40393,,Asian Art,1947.0,Handscroll,元  周東卿  魚樂圖  卷|The Pleasures of Fishes,China,Yuan dynasty (1271–1368),,,,1166,Artist, ,Zhou Dongqing,"Chinese, active late 13th century", ,ZHOU DONGQING,Chinese,0013      ,0013      ,,http://vocab.getty.edu/page/ulan/500336947,,dated 1291,1291,1291,Handscroll; ink and color on paper,"Image: 12 1/8 x 19 ft 4 in. (30.8 cm x 593.7 cm)
Overall with mounting: 12 5/8 x 441 3/4 in. (32.1 x 1122 cm)","From the Collection of A. W. Bahr, Purchase, Fletcher Fund, 1947
",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/40393,https://www.wikidata.org/wiki/Q78858796,,"Metropolitan Museum of Art, New York, NY",Fish,http://vocab.getty.edu/page/aat/300266085,https://www.wikidata.org/wiki/Q152
45.170.2,False,False,True,40409,,Asian Art,1945.0,Handscroll,,China,Ming (1368–1644) or Qing dynasty (1644–1911),,,,187033750,Artist|Artist,In the Style of| ,Wang Wei|Unidentified artist,"Chinese, 699–759| ", | ,Wang Wei|Unidentified artist,Chinese| ,0699      |          ,0759      |          ,|,http://vocab.getty.edu/page/ulan/500327910|,https://www.wikidata.org/wiki/Q313605|,,1368,1911,Handscroll; ink and color on silk,10 1/2 x 80 3/16 in. (26.7 x 203.7 cm),"Gift of Robert Lehman, 1945",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/40409,https://www.wikidata.org/wiki/Q78858662,,"Metropolitan Museum of Art, New York, NY",Mountains|Landscapes,http://vocab.getty.edu/page/aat/300008795|http://vocab.getty.edu/page/aat/300132294,https://www.wikidata.org/wiki/Q8502|https://www.wikidata.org/wiki/Q191163
12.37.133,False,False,True,40418,,Asian Art,1912.0,Hanging scroll,,China,Qing dynasty (1644–1911),,,,,,,,,,,,,,,,,,1644,1911,Hanging scroll; ink and color on silk,"Image: 66 3/4 × 40 7/8 in. (169.5 × 103.8 cm)
Overall with mounting: 8 ft. 11 1/4 in. × 46 3/4 in. (272.4 × 118.7 cm)
Overall with knobs: 8 ft. 11 1/4 in. × 48 3/4 in. (272.4 × 123.8 cm)","Rogers Fund, 1912",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/40418,https://www.wikidata.org/wiki/Q78858542,,"Metropolitan Museum of Art, New York, NY",Palaces|Landscapes,http://vocab.getty.edu/page/aat/300005734|http://vocab.getty.edu/page/aat/300132294,https://www.wikidata.org/wiki/Q16560|https://www.wikidata.org/wiki/Q191163
21.17,False,False,False,40419,,Asian Art,1921.0,Painting,,China,Qing dynasty (?) (1644–1911),,,,375021304,Artist|Artist, |Formerly Attributed to,Unidentified artist|Cui Bai," |Chinese, active ca. 1040–70", | ,Unidentified artist|Cui Bai, |Chinese,          |1030      ,          |1080      ,|,|(not assigned),|https://www.wikidata.org/wiki/Q709216,,1644,1911,On silk,44 1/2 x 35 3/4 in. (113 x 90.8 cm),"Gift of E. G. Seymour, 1921",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/40419,,,"Metropolitan Museum of Art, New York, NY",,,
13.220.112,False,False,True,40420,,Asian Art,1913.0,Hanging scroll,清   佚名   傳崔子忠   呂洞賓戯牡丹仙子   軸|Lȕ Dongbin and the Spirit of the Peony,China,Ming (1368–1644) or Qing (1644–1911) dynasty,,,,123793750,Artist|Artist,Signature of| ,Cui Zizhong|Unidentified artist,"Chinese, ca. 1595–1644| ", | ,Cui Zizhong|Unidentified artist,Chinese| ,1595      |          ,1644      |          ,|,(not assigned)|,https://www.wikidata.org/wiki/Q3006787|,,1368,1911,Hanging scroll; ink and color on silk,Image: 57 in. × 33 3/4 in. (144.8 × 85.7 cm),"John Stewart Kennedy Fund, 1913",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/40420,https://www.wikidata.org/wiki/Q78858420,,"Metropolitan Museum of Art, New York, NY",Peonies|Men|Women,http://vocab.getty.edu/page/aat/300380052|http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300025943,https://www.wikidata.org/wiki/Q147105|https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q467
13.220.92,False,False,True,40421,,Asian Art,1913.0,Hanging scroll,,China,Ming dynasty (?) (1368–1644),,,,,,,,,,,,,,,,,,1368,1644,Hanging scroll; ink and color on silk,60 3/4 x 36 in. (154.3 x 91.4 cm),"John Stewart Kennedy Fund, 1913",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/40421,https://www.wikidata.org/wiki/Q78858329,,"Metropolitan Museum of Art, New York, NY",Tigers,http://vocab.getty.edu/page/aat/300249063,https://www.wikidata.org/wiki/Q19939
13.220.28,False,False,True,40422,,Asian Art,1913.0,Hanging scroll,,China,Ming (1368–1644) or Qing dynasty (1644–1911),,,,375021144,Artist|Artist, |After,Unidentified artist|Tang Yin," |Chinese, 1470–1524", | ,Unidentified artist|Tang Yin, |Chinese,          |1470      ,          |1524      ,|,|http://vocab.getty.edu/page/ulan/500034107,|https://www.wikidata.org/wiki/Q2248916,ca. 1525,1515,1535,Hanging scroll; ink and color on paper,"Image: 89 x 40 1/4 in. (226.1 x 102.2 cm)
Overall with mounting: 137 3/4 x 44 in. (349.9 x 111.8 cm)
Overall with knobs: 137 3/4 x 48 5/8 in. (349.9 x 123.5 cm)","John Stewart Kennedy Fund, 1913",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/40422,https://www.wikidata.org/wiki/Q78858268,,"Metropolitan Museum of Art, New York, NY",Men|Trees|Landscapes,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300132410|http://vocab.getty.edu/page/aat/300132294,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q10884|https://www.wikidata.org/wiki/Q191163
13.220.9,False,False,True,40423,,Asian Art,1913.0,Hanging scroll,,China,Ming (1368–1644) or Qing dynasty (1644–1911),,,,3750,Artist, ,Unidentified artist, , ,Unidentified artist, ,          ,          ,,,,,1368,1911,Hanging scroll; ink and color on silk,56 3/4 x 36 3/4 in. (144.1 x 93.3 cm),"John Stewart Kennedy Fund, 1913",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/40423,https://www.wikidata.org/wiki/Q78858203,,"Metropolitan Museum of Art, New York, NY",Men|Horses,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300250148,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q726
13.220.88,False,False,True,40424,,Asian Art,1913.0,Hanging scroll,,China,Ming (1368–1644) or Qing (1644–1911) dynasty,,,,375021369,Artist|Artist, |Formerly Attributed to,Unidentified artist|Huang Qüan," |Chinese, active ca. 950", | ,Unidentified artist|Huang Qüan, |Chinese,          |0940      ,          |0960      ,|,|http://vocab.getty.edu/page/ulan/500125644,|https://www.wikidata.org/wiki/Q32086,,1368,1911,Hanging scroll,"Image: 77 x 37 in. (195.6 x 94 cm)
Overall with mounting: 123 x 40 7/8 in. (312.4 x 103.8 cm)
Overall with knobs: 123 x 45 1/4 in. (312.4 x 114.9 cm)","John Stewart Kennedy Fund, 1913",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/40424,https://www.wikidata.org/wiki/Q78858144,,"Metropolitan Museum of Art, New York, NY",Birds|Peacocks|Flowers,http://vocab.getty.edu/page/aat/300266506|http://vocab.getty.edu/page/aat/300250082|http://vocab.getty.edu/page/aat/300132399,https://www.wikidata.org/wiki/Q5113|https://www.wikidata.org/wiki/Q201251|https://www.wikidata.org/wiki/Q506
26.114.3,False,False,False,40425,,Asian Art,1926.0,Hanging scroll,,China,Ming (1368–1644) or Qing (1644–1911) dynasty,,,,375021709,Artist|Artist, |Formerly Attributed to,Unidentified artist|Tang Xiya, |Chinese, | ,Unidentified artist|Tang Xiya, |Chinese,          |          ,          |          ,|,|,|,,1368,1911,Hanging scroll; on silk,56 1/4 x 37 1/2 in. (142.9 x 95.3 cm),"Gift of Ellis G. Seymour, 1926",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/40425,,,"Metropolitan Museum of Art, New York, NY",,,
47.18.15,False,False,True,40426,,Asian Art,1947.0,Hanging scroll,,China,Ming dynasty (?) (1368–1644),,,,3750,Artist, ,Unidentified artist, , ,Unidentified artist, ,          ,          ,,,,,1368,1644,Hanging scroll; ink and color on silk,"Image: 68 1/2 × 35 1/2 in. (174 × 90.2 cm)
Overall with mounting: 9 ft. 1 7/8 in. × 42 5/8 in. (279.1 × 108.3 cm)
Overall with knobs: 9 ft. 1 7/8 in. × 46 1/4 in. (279.1 × 117.5 cm)","From the Collection of A. W. Bahr, Purchase, Fletcher Fund, 1947",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/40426,https://www.wikidata.org/wiki/Q78858073,,"Metropolitan Museum of Art, New York, NY",Landscapes,http://vocab.getty.edu/page/aat/300132294,https://www.wikidata.org/wiki/Q191163
1988.153.2,False,False,True,40433,,Asian Art,1988.0,Hanging scroll,南宋   佚名   賞梅圖   軸|Scholar admiring plum blossoms,China,Southern Song dynasty (1127–1279),,,,3750,Artist, ,Unidentified artist, ,Chinese,Unidentified artist, ,          ,          ,,,,13th century,1200,1299,Hanging scroll; ink and color on silk,"Image: 37 1/4 x 11 1/2 in. (94.6 x 29.2 cm)
Overall with mounting: 71 x 16 1/8 in. (180.3 x 41 cm)
Overall with knobs: 37 1/4 x 18 in. (94.6 x 45.7 cm)","Purchase, The Dillon Fund Gift, 1988",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/40433,https://www.wikidata.org/wiki/Q78857602,,"Metropolitan Museum of Art, New York, NY",Mountains|Landscapes,http://vocab.getty.edu/page/aat/300008795|http://vocab.getty.edu/page/aat/300132294,https://www.wikidata.org/wiki/Q8502|https://www.wikidata.org/wiki/Q191163
1987.9,False,False,True,40439,,Asian Art,1987.0,Hanging scroll,元    佚名    釋迦三尊圖   軸|Shakyamuni coming down from the mountains,China,Yuan dynasty (1271–1368),,,,3750,Artist, ,Unidentified artist, ,", late 13th–early 14th century",Unidentified artist, ,          ,          ,,,,late 13th–early 14th century,1267,1333,Hanging scroll; ink and color on silk,"Image: 38 x 19 1/4 in. (96.5 x 48.9 cm)
Overall with mounting: 78 x 24 5/8 in. (198.1 x 62.5 cm)
Overall with knobs: 78 x 26 5/8 in. (198.1 x 67.6 cm)","Purchase, Douglas Dillon Gift, 1987",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/40439,https://www.wikidata.org/wiki/Q78857224,,"Metropolitan Museum of Art, New York, NY",Buddhism|Shakyamuni|Bodhisattvas,http://vocab.getty.edu/page/aat/300073738|http://vocab.getty.edu/page/ia/901000851|http://vocab.getty.edu/page/aat/300264360,https://www.wikidata.org/wiki/Q748|https://www.wikidata.org/wiki/Q9441|https://www.wikidata.org/wiki/Q178149
1984.226,False,False,True,40446,,Asian Art,1984.0,Hanging scroll,元   佚名    羅漢像   軸|Luohan,China,Yuan dynasty (1271–1368),,,,3750,Artist, ,Unidentified artist, , ,Unidentified artist, ,          ,          ,,,,late 13th–early 14th century,1267,1323,Hanging scroll; ink and color on silk,"Image: 44 1/4 x 19 5/16 in. (112.4 x 49.1 cm)
Overall with mounting: 78 x 20 3/8 in. (198.1 x 51.8 cm)
Overall with knobs: 78 x 22 in. (198.1 x 55.9 cm)","Purchase, Seymour Fund and Bequest of Dorothy Graham Bennett, 1984
",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/40446,https://www.wikidata.org/wiki/Q78856752,,"Metropolitan Museum of Art, New York, NY",Men|Lotuses,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300375570,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q3645698
1987.148,False,False,True,40448,224.0,Asian Art,1987.0,Hanging scroll,南宋 佚名 阿彌陀佛圖 軸|Buddha Amitabha Descending from His Pure Land,China,Southern Song dynasty (1127–1279),,,,,,,,,,,,,,,,,late 13th century,1271,1299,"Hanging scroll; ink, color, and gold on silk","Image: 41 1/8 x 21 1/8 in. (104.5 x 53.7 cm)
Overall with mounting: 71 1/2 x 28 1/4 in. (181.6 x 71.8 cm)
Overall with knobs: 71 1/2 x 30 3/8 in. (181.6 x 77.2 cm)","Rogers Fund, 1987",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/40448,https://www.wikidata.org/wiki/Q78856614,,"Metropolitan Museum of Art, New York, NY",Buddhism|Buddha,http://vocab.getty.edu/page/aat/300073738|http://vocab.getty.edu/page/aat/300262950,https://www.wikidata.org/wiki/Q748|https://www.wikidata.org/wiki/Q7055
